chapter_id,sentence_id,original,translation
1,0,祇園精舎の鐘の聲、諸行無常の響あり。,The sound of the bell at Gion Shōja declares the impermanence of all things.
1,1,娑羅雙樹の花の色、盛者必衰のことわりをあらはす。,The color of the saraba twin-tree blossoms manifests the truth that those in power will inevitably decline.
1,2,おごれる人も久しからず、唯春の夜の夢のごとし。,Those who are arrogant cannot endure long; it is but like a spring night's dream.
1,3,たけき者も遂にほろびぬ、偏に風の前の塵に同じ。,"Even the valiant will ultimately fall, akin to dust before the wind."
1,4,遠く異朝をとぶらへば、秦の趙高、漢の王莽、梁の周伊、唐の禄山、是等は皆舊主先皇の政にもしたがはず、楽みをきはめ、諫をおもひいれず、天下のみだれむ事をさとらずして、民間の愁る所をしらざりしかば、久からずして亡じし者ども也。,"When examining distant foreign dynasties: Zhao Gao of Qin, Wang Mang of Han, Zhou Yi of Liang, An Lushan of Tang—these all disregarded the governance of former lords and emperors, indul in excess, heeded no counsel, failed to comprehend the chaos they wrought upon the realm, ignored the people's grievances, and thus swiftly perished."
1,5,近く本朝をうかがふに、承平の將門、天慶の純友、康和の義親、平治の信頼、此等はおごれる心もたけき事も皆とりどりにこそありしかども、まぢかくは六波羅の入道、前太政大臣平朝臣清盛公と申し人のありさま、傳へうけたまはるこそ心も詞も及ばれね。,"Closer to our own nation: Tadami of Jōhei, Junnai of Tengyō, Yoshitada of Kōwa,信赖 of Heiji—though each had their pride and prowess in abundance, none compare to the likes of Hōgen's priest Ryōben and former Chancellor Minamoto no Kiyomori. Their tales, passed down through generations, transcend ordinary understanding."
1,6,其先祖を尋ぬれば、桓武天皇第五の皇子、一品式部卿葛原親王九代の後胤讃岐守正盛が孫、刑部卿忠盛朝臣の嫡男なり。,"Tracing his lineage: He is the ninth-generation descendant of Prince Karihara, Minister of Ceremonies, fifth son of Emperor Kanmu. Grandson of Sanemori, Lord of Sanuki, and legitimate son of Tadamasa Ason, Minister of Justice."
1,7,彼親王の御子、高親王無官無位にして、うせ給ひぬ。,"The prince's own son, High Prince Takakuni, held no court rank or position and passed away."
1,8,其御子高望の王の時始めて平の姓を給て、上總介になり給しより、忽に王氏を出て人臣につらなる。,"When High Prince Takamochi was granted the surname Minamoto, becoming Assistant Governor of Kazusa Province, suddenly members of the imperial line emerged to serve as subjects."
1,9,其子鎮守府將軍義茂後には國香とあらたむ。,"His son Yoshimori, Lord Commander of the Pacification Headquarters, was succeeded by Kunika."
1,10,國香より正盛に至る迄、六代は諸國の受領たりし,"From Kunika to Masamori spans six generations, each serving as provincial governors throughout the land."
1,11,かども、殿上の仙籍をばいまだゆるされず。,Yet none were permitted entry into the celestial ranks of court nobility.
2,0,しかるを忠盛備前守たりし時、鳥羽院の御願得長壽院を造進して三十三間の御堂をたて、一千一體の御佛をすゑ奉る。,"During the time when Tadamori, Governor of Bizen Province, served, he constructed a thirty-three-bay hall for Gotokuji Temple at the request of Emperor Toba to fulfill his imperial vow, enshrining one thousand and one Buddha statues."
2,1,供養は天承元年三月十三日なり。,The memorial service was held on March 13th of Tencho Year 1 (1036).
2,2,勧賞には闕国を給ふべき由仰下されける。,It was ordered that Kan Province be granted as a reward.
2,3,境節但馬國のあきたりけるを給にけり。,The border region of Tango Province (Akitari District) was granted to him.
2,4,上皇御感のあまりに内の昇殿をゆるさる。,"Moved by emotion, the Retired Emperor lifted the restriction on entering the inner palace."
2,5,忠盛三十六にて始て昇殿す。,"At age thirty-six, Tadamori first ascended the palace hall."
2,6,雲の上人是を嫉み、同き年の十一月廿三日、五節豐明の節會の夜、忠盛を闇討にせむとぞ擬せられける。,"Kumonosu no Jōja, envious of him, planned to assassinate Tadamori on November 23rd of the same year during the night of the Gosechi Festival's丰明祭 (Toyouke-no-Matsuri)."
2,7,忠盛是を傳へ聞て、「われ右筆の身にあらず、武勇の家に生れて、今不慮の恥にあはむ事、家の爲、身のために、こゝろかるべし。せむずるところ、身を全して君に仕といふ本文あり。」とて、兼て用意をいたす。,"Upon hearing this, Tadamori declared: 'Though not a scholar, I was born into a house of martial valor. To avoid dishonor to my family and myself, I must act. Even if it means death, my duty is to serve the lord.' He prepared accordingly."
2,8,参内のはじめより大なる鞘卷を用意して束帯のしたにしどけなげにさし、火のほのくらき方にむかて、やはら、此刀をぬき出し、鬢にひきあてられけるが、氷などの様にぞみえける。,"From the start of his audience, he wore a large sashimaki (armor) beneath his court attire. When the ceremonial torchlight dimmed, he drew his sword and held it against his temple, his appearance likened to ice."
2,9,諸人目をすましけり。,All present averted their eyes in awe.
2,10,其上忠盛の郎等もとは一門たりし木工助平貞光が孫しんの三郎太夫家房が子、左兵衛尉家貞といふ者ありけり。,"Among Tadamori's retainers was Kagemasa Kazumasa, son of Sanjūrōtaifu Kazufusa (grandson of Hideshige, the前任木工助), who served as Saemon no Jo (Left Guard Captain)."
2,11,薄青の狩衣の下に萠黄威の腹巻をき、弦袋つけたる太刀脇はさんで、殿上の小庭に畏てぞ候ける。,"Clad in a light blue hunting robe over a yellow-patterned haridare (cuirass), with a sword sheathed in a quiver at his side, he stood respectfully in the palace's small courtyard."
2,12,貫首以下あやしみをなし、「うつぼ柱よりうち、鈴の綱のへんに布衣の者の候ふはなにものぞ。狼藉なり。罷出よ。」と、六位をもていはせければ、家貞申すは「相傳の主、備前守殿今夜闇討にせられ給べき由承候あひだ、其ならむ様を見むと<sentence> て、かくて候。えこそ罷出まじけれ。」とて畏て候ければ、是等をよしなしとやおもはれけん、其夜の闇討なかりけり。,"From executioners downwards, they shouted: 'Having a commoner near the pillar and bell rope is disgraceful! Leave!' When told by a courtier of rank 6, Kazumasa replied: 'Since Lord Bizen is to be assassinated tonight, I wish to witness his final moments.' They relented, and the assassination was aborted."
2,13,て、かくて候。,Thus it was arranged.
2,14,えこそ罷出まじけれ。,"Indeed, one must not leave."
2,15,」とて畏て候ければ、是等をよしなしとやおもはれけん、其夜の闇討なかりけり。,"They decided it best to comply, and no assassination occurred that night."
2,16,忠盛御前のめしにまはれければ、人々拍子をかへて「伊勢平氏はすがめなりけり。」とぞはやされける。,"As Tadamori prepared to leave the imperial presence, crowds clapped and chanted: 'The Ise Heike have been saved!'"
2,17,此人々はかけまくもかたじけなく柏原天皇の御末とは申ながら、中比は都の住居もうと／＼しく、地下にのみ振舞なて伊勢國に住國ふかかりしかば、其国の器に事よせて、伊勢平氏とぞ申ける。,"Though these men claimed descent from Emperor Kōmei (柏原天皇) and resided in the capital, they served as low-ranking courtiers in Ise Province. Hence they were called the 'Ise Heike.'"
2,18,其うへ忠盛目のすがまれたりければ、加様にはやされけり。,"Had Tadamori seen them, he surely would have been astonished."
2,19,いかにすべき樣もなくして、御遊もいまだをはらざるに、竊に罷出らるとて、よこたへさされたりける刀をば紫宸殿の御後にして、かたへの殿上人のみられける所にて、主殿司をめしてあづけ置てぞ出られける。,"Without knowing what to do, while the Emperor continued his entertainment, he secretly left, placed his sword near the Purple Palace's rear where courtiers could see it, and reported to the Chamberlain Office."
2,20,家貞待うけたてまつて、「さていかゞ候つる。」と申すれば、かくともいはまほしう思はれけれども、いひつるものならば、殿上までもやがてきりのぼらんずる者にてある間、「別の事もなし。」とぞ答られける。,"Kazumasa waited and asked: 'What will you do next?' Though he thought it best to depart, considering that assassins might soon arrive, he replied: 'There is nothing further to discuss.'"
2,21,五節には、「白薄様、こぜむじの紙、卷上の筆、鞆繪ゑがいたる筆の軸」なんどさま％＼面白き事をのみこそうたひまはるるに、中比太宰権帥季仲卿といふ人ありけり。,"At the Gosechi festival, amusing items like 'white thin cloth, papers for rolling, brushes with painted handles' were displayed. Among them was Saemon Gon-kyō Sanae no Kuniyuki."
2,22,あまりに色のくろかりければ、見る人黒帥とぞ申ける。,"Due to his dark complexion, people called him 'Kurosho' (Black General)."
2,23,其人いまだ藏人頭なりし時、五節にまはれければ、それも拍子をかへて、「あなくろ／＼、くろき頭かな。いかなる人のうるしぬりけむ。」とぞはやされける。,"When he served as Head of the Court Pages, at the Gosechi festival they clapped and mocked: 'Oh dark one! Who could endure such a face?'"
2,24,又花山院前太政大臣忠雅公、いまだ十歳と申し時、父中納言忠宗卿におくれたてまつて孤にておはしけるを、故中御門藤中納言家成卿いまだ播磨守たりし時、聟に執て、声花にもてなされければ、それも五節に「播磨米はとくさか、むくの葉か、人のきらをみがくは。」とぞはやされける。,"Additionally, when former Prime Minister Tadamasa of the Hanaoka-tenno line was ten years old and being raised as an orphan by his father Naidaijin Tadamune. When Kōshikibu no Naishi's son Kazunori (then Harima Province Governor) arranged a marriage with 'a voice like flowers,' at the Gosechi festival they chanted: 'Harima rice is fragrant, its leaves sweet, polishing people's spirits!'"
2,25,上古には加様にありしかども事いでこず。,Such practices existed in ancient times but were not recorded.
2,26,末代いかゞあらんずらむ、おぼつかなしとぞ人申ける。,"People say the end times will surely come, though it is uncertain."
2,27,案のごとく五節はてにしかば、殿上人一同に申されけるは、「夫雄劍を帶して公宴に列し、兵仗を給て、宮中を出入するはみな格式の禮をまもる綸命よしある先規なり。しかるを忠盛朝臣或は相傳の郎従と號して布衣の兵を殿上の小庭にめしおき、或は腰の刀を横へさいて節繪の座につらなる。兩條希代いまだきかざる狼藉なり。事既に重疊せり。罪科尤ものがれがたし。早く御札をけづて闕官停任せらるべき由」おの／＼訴へ申されければ、上皇大に驚きおぼしめし、忠盛をめして御尋あり。,"As it was, the courtiers collectively reported: 'Carrying swords to banquets and being granted weapons for palace access are ancient traditions. However, Lord Tadamori has allowed retainers dressed as commoners to stand in the courtyard or place their swords horizontally at festival seats—unprecedented chaos! Punishment is necessary.' The Retired Emperor was greatly alarmed and summoned Tadamori."
2,28,陳じ申せるは、「まづ郎従小庭に祗候の由、全く覺悟つかまつらず。但し、近日人々あひたくまるゝ旨子細ある歟の間、年來の家人、事をつたへきくかによて其恥をたすけむがために、忠盛にしられずして竊に參候の條力及ざる次第なり。若し猶其咎あるべくば、彼身をめし進ずべき歟。次に刀の事、主殿司に預け置をはぬ。是をめし出され刀の實否について咎の左右あるべき歟。」と申。,"Tadamori explained: 'First, allowing retainers to serve in the courtyard was not part of my instructions. However, due to recent disturbances among people, I let trusted retainers handle matters to avoid shame without informing you. If there's blame, punish them instead. Regarding the sword left with the Chamberlain, its authenticity should be verified.'"
2,29,しかるべしとて、其刀をめし出して叡覽ければ、上皇は鞘卷のくろくぬりたりけるが、中は木刀に銀薄をぞおしたりける。,"Thus ordered, the sword was presented. The Retired Emperor saw the scabbard was darkened but inside contained a wooden sword with silver foil."
2,30,「当座の恥辱をのがれん爲に刀を帶する由あらはすといへども、後日の訴訟を存知して、木刀を帯しける用意のほどこそ神妙なれ。弓箭に携らむ者のはかりごとは尤かうこそあらまほしけれ。兼ては又郎従小庭に祗候の條且は武士の郎等のならひなり。忠盛が咎にあらず。」とて却て叡,"Tadamori explained: 'I carried a sword to avoid immediate shame, but knowing future disputes, I prepared a wooden one. Those carrying bows should be especially careful. Letting retainers serve in the courtyard is customary for warriors. Tadamori is blameless.'"
2,31,感にあづかしうへは敢て罪科の沙汰もなかりけり。,"Moved by his explanation, the Retired Emperor did not pursue punishment."
3,0,其子どもは諸衞の佐になり、昇殿せしに殿上のまじはりを人きらふに及ばず。,"His son became the assistant of Shomei, and when he was granted entry to the palace, his mastery of courtly etiquette surpassed all others."
3,1,忠盛、備前国より都へのぼりたりけるに、鳥羽院「明石浦はいかに。」と御尋ありければ、あり明の月もあかしのうら風に、浪ばかりこそよると見えしか。,"When Tadashige ascended from Bizen Province to the capital, upon Emperor Toba's inquiry, 'How is Akashi Bay?', he replied that even the bright moon seemed to shine through the wind, and only the waves roared."
3,2,と申したりければ、御感ありけり。,"Upon hearing this, His Majesty was deeply moved."
3,3,この歌は金葉集にぞ入られける。,This poem is indeed found in the Kin'yō Wakashū (Imperial Anthology).
3,4,忠盛又仙洞に最愛の女房をもてかよはれけるが、ある時、其女房のつぼねに、つまに月出したる扇をわすれて出されたりければ、かたへの女房たち「是はいづくよりの月影ぞや。出どころおぼつかなし。」などわらひあはれければ、彼女房、雲井よりたゞもりきたる月なれば、おぼろげにてはいはじとぞ思ふ。,"Tadashige also frequented a beloved concubine at the retired emperor's residence. One day, when she accidentally left her crescent-moon-shaped fan outside, other women joked, 'Is this not moonlight from nowhere? It’s hard to trace its origin.' Realizing it symbolized the ephemeral nature of the moon (like a reflection in the pond), she felt a bittersweet sorrow."
3,5,とよみたりければ、いとゞあさからずぞおもはれける。,"When recited, it evokes profound melancholy."
3,6,薩摩守忠度の母、是なり。,"This woman was the mother of Tadatsune, Lord of Satsuma Province."
3,7,にるを友とかやの風情に忠盛もすいたりければ、かの女房も優なりけり。,"Though Tadashige shared a refined taste with the retired emperor, this woman was exceptionally virtuous."
3,8,かくて忠盛刑部卿になて、仁平三年正月十五日歳五十八にてうせにき。,"Thus, Tadashige served as Minister of Justice until his death on the fifteenth day of the first month of 1157 at age fifty-eight."
3,9,清盛嫡男たるによてその迹をつぐ。,"As Tairano Kiyomori's heir, his son inherited his legacy."
