,chapter_id,original,translation
0,1,祇園精舎の鐘の聲、諸行無常の響あり。,The sound of the bell at Gion Shōjō proclaims the impermanence of all things.
1,1,娑羅雙樹の花の色、盛者必衰のことわりをあらはす。,The color of the娑羅雙樹 (sarushōju) flowers reveals the truth that all prosperity must decay.
2,1,おごれる人も久しからず、唯春の夜の夢のごとし。,"Those who are arrogant will not remain so long, for they are but dreams of a spring night."
3,1,彼親王の御子、高親王無官無位にして、うせ給ひぬ。,"The prince’s son, the high-ranking prince, was given no title or rank and was left without official status."
4,1,遠く異朝をとぶらへば、秦の趙高、漢の王莽、梁の周伊、唐の禄山、是等は皆舊主先皇の政にもしたがはず、樂みをきはめ、諫をおもひいれず、天下のみだれむ事をさとらずして、民間の愁る所をしらざりしかば、久からずして亡じし者ども也。,"Looking far back to other dynasties, such as Qin’s Zhao Gao, Han’s Wang Mang, Liang’s Zhou Yi, and Tang’s An Lushan, these men all once served under their former sovereigns. Yet, they sought pleasure and ignored advice, unaware of the chaos they would bring, and ignorant of the people’s suffering. Thus, they did not last long before perishing."
5,1,國香より正盛に至る迄、六代は諸國の受領たりし,"From Kuniyoshi to Masamori, six generations served as governors of various provinces."
6,1,其子鎭守府將軍義茂後には國香とあらたむ。,"His son, General of the Garrison, Yoshimori, was later known as Kuniyoshi."
7,1,たけき者も遂にほろびぬ、偏に風の前の塵に同じ。,"Even the mighty shall eventually fall, becoming but dust before the wind."
8,1,かども、殿上の仙籍をばいまだゆるされず。,"Yet, none of them were ever granted the privilege of the imperial court’s registry."
9,1,近く本朝をうかがふに、承平の將門、天慶の純友、康和の義親、平治の信頼、此等はおごれる心もたけき事も皆とりどりにこそありしかども、まぢかくは六波羅の入道、前太政大臣平朝臣清盛公と申し人のありさま、傳へうけたまはるこそ心も詞も及ばれね。,"Looking closely at this era, such as the Heike of the Eihō period, the Zenshō of the Tenkō period, the Yoritsune of the Kōwa period, and the Nobuyori of the Heiji period, all of these men had their own arrogance and strength. However, none can compare to the six waves of the monk, the former Prime Minister, Lord Minamoto no Yoshitaka, whose deeds are passed down and whose heart and words are beyond comparison."
10,1,其先祖を尋ぬれば、桓武天皇第五の皇子、一品式部卿葛原親王九代の後胤讃岐守正盛が孫、刑部卿忠盛朝臣の嫡男なり。,"Tracing back his ancestry, he was the fifth son of Emperor桓武 (Kammu), the ninth descendant of Prince葛原 (Kawahara), the grandson of Governor of讃岐 (Sanuki) Masamori, and the eldest son of Minister of Justice Tadamori."
11,1,其御子高望の王の時始めて平の姓を給て、上總介になり給しより、忽に王氏を出て人臣につらなる。,"It was only during the reign of the high-ranking prince that the name ""Heike"" was bestowed, and he became the Governor of Shikoku. Suddenly, he left the royal family and became a minister."
12,2,聟に執て、聲花にもてなされければ、それも五節に「播磨米はとくさか、むくの葉か、人のきらをみがくは。」とぞはやされける。,"Again, the Minister of the Imperial Court, Kiyomori, when he was ten years old, was left alone by his father, the Minister of the Imperial Court, Kiyomori, and was taken in by the Minister of the Imperial Court, Kiyomori, who was still the Governor of Harima Province."
13,2,上皇御感のあまりに内の昇殿をゆるさる。,"Because of the Emperor's deep gratitude, he was permitted to ascend to the inner court."
14,2,境節但馬國のあきたりけるを給にけり。,The province of Butsuga was granted to him.
15,2,又花山院前太政大臣忠雅公、いまだ十歳と申し時、父中納言忠宗卿におくれたてまつて孤にておはしけるを、故中御門藤中納言家成卿いまだ播磨守たりし時、,"At that time, when he was still the head of the Treasure Office, he was present at the festival, and they changed their rhythm and said, ""Black and dark, a dark head. What kind of person is this?"""
16,2,末代いかゞあらんずらむ、おぼつかなしとぞ人申ける。,"In ancient times, it was customary, but it is no longer the case."
17,2,感にあづかしうへは敢て罪科の沙汰もなかりけり。,"""Although it is said that he carried the sword to avoid disgrace, it is clear that he prepared a wooden sword in case of future litigation. It is indeed a serious matter. The preparation of a wooden sword instead of a real one is a strange thing. Also, the presence of a court attendant in the small garden is a custom of the warrior class. Moronobu is not at fault."""
18,2,しかるを忠盛備前守たりし時、鳥羽院の御願得長壽院を造進して三十三間の御堂をたて、一千一體の御佛をすゑ奉る。,"At that time, when Moronobu was the Governor of Bizen Province, he built the Longevity Temple at the request of the Imperial Court of Toba, constructing a hall thirty-three ken long and enshrining one thousand one Buddhist statues."
19,2,しかるべしとて、其刀をめし出して叡覽あれば、上は鞘卷のくろくぬりたりけるが、中は木刀に銀薄をぞおしたりける。,"He stated, ""First, the reason for the attendant's presence at the small garden is that he was not aware of it. However, recently, there were rumors that people were gathering, and in order to help him with his disgrace, he secretly came to the palace without Moronobu's knowledge. If there is still any fault, should he be punished? Next, regarding the sword, it was entrusted to the head of the palace attendants. Should he be blamed for the truth of the sword?"""
20,2,陳じ申けるは、「まづ郎從小庭に祗候の由、全く覺悟つかまつらず。但し、近日人々あひたくまるゝ旨子細ある歟の間、年來の家人、事をつたへきくかによて其恥をたすけむが爲に、忠盛にしられずして竊に參候の條力及ざる次第なり。若し猶其咎あるべくば、彼身をめし進ずべき歟。次に刀の事、主殿司に預け置をはぬ。是をめし出され刀の實否について咎の左右あるべき歟。」と申。,"As expected, the festival ended, and the courtiers said, ""It is a violation of the established rules for a man to carry a sword to a public banquet, to be given weapons, and to enter and exit the palace. However, Moronobu, the court official, is either called a court attendant or is placed in the small garden of the palace with common soldiers, or has his sword laid horizontally at the festival seat. These two violations are unprecedented. The matter is serious. The punishment should be severe. The Emperor should issue an imperial decree to dismiss him from his post."""
21,2,案のごとく五節はてにしかば、殿上人一同に申されけるは、「夫雄劍を帶して公宴に列し、兵仗を給て、宮中を出入するはみな格式の禮をまもる綸命よしある先規なり。しかるを忠盛朝臣或は相傳の郎從と號して布衣の兵を殿上の小庭にめしおき、或は腰の刀を横へさいて節繪の座につらなる。兩條希代いまだきかざる狼藉なり。事既に重疊せり。罪科尤ものがれがたし。早く御札をけづて闕官停任せらるべき由」おの／＼訴へ申されければ、上皇大に驚きおぼしめし、忠盛をめして御尋あり。,What will be the case in later generations? People say it is uncertain.
22,2,上古には加樣にありしかども事いでこず。,"He was taken in as a son-in-law and was treated with great care, and they also said at the festival, ""Harima rice is a special kind, the leaves of the plant, the person who polishes the mirror."""
23,2,勸賞には闕國を給ふべき由仰下されける。,It was decreed that the province of Kōkoku be given as a reward.
24,2,「當座の恥辱をのがれん爲に刀を帶する由あらはすといへども、後日の訴訟を存知して、木刀を帶しける用意のほどこそ神妙なれ。弓箭に携らむ者のはかりごとは尤かうこそあらまほしけれ。兼ては又郎從小庭に祗候の條且は武士の郎等のならひなり。忠盛が咎にあらず。」とて却て叡,"Thus, the sword was presented to the Emperor for inspection, and it was found that the scabbard was blackened, but inside was a wooden sword with a thin layer of silver."
25,2,貫首以下あやしみをなし、「うつぼ柱よりうち、鈴の綱のへんに布衣の者の候ふはなにものぞ。狼藉なり。罷出よ。」と、六位をもていはせければ、家貞申けるは「相傳の主、備前守殿今夜闇討にせられ給べき由承候あひだ、其ならむ樣を見むと,"The head of the attendants, suspecting something, said, ""This person, coming from the pillar of the eel, appears at the edge of the bell rope. Who is this person in plain clothes? This is disorder. Leave at once!"" and ordered him to leave, even granting him the rank of sixth grade."
26,2,薄青の狩衣の下に萠黄威の腹卷をき、弦袋つけたる太刀脇はさんで、殿上の小庭に畏てぞ候ける。,"He wore a hunting coat of light blue with a yellow sash wrapped around his waist, and a sword with a string bag fastened at his side, standing in the small garden of the palace."
27,2,其上忠盛の郎等もとは一門たりし木工助平貞光が孫しんの三郎太夫家房が子、左兵衞尉家貞といふ者ありけり。,"Among the attendants of Moronobu were the descendants of the same family, the woodworker Kiyotada, grandson of Kiyomori, the third son of the house of Kiyomori, known as Sadayori."
28,2,諸人目をすましけり。,The people present looked in astonishment.
29,2,忠盛御前のめしにまはれければ、人々拍子をかへて「伊勢平氏はすがめなりけり。」とぞはやされける。,"So, he remained, and that night's assassination did not take place."
30,2,」とて畏て候ければ、是等をよしなしとやおもはれけん、其夜の闇討なかりけり。,"""You should not leave."""
31,2,えこそ罷出まじけれ。,"Thus, he remained."
32,2,雲の上人是を嫉み、同き年の十一月廿三日、五節豐明の節會の夜、忠盛を闇討にせむとぞ擬せられける。,"The monk in the clouds, jealous of this, planned to assassinate Moronobu in the dark during the night of the festival of the fifth month on the twenty-third day of the same year."
33,2,忠盛是を傳へ聞て、「われ右筆の身にあらず、武勇の家に生れて、今不慮の恥にあはむ事、家の爲、身の爲、こゝろうかるべし。せむずるところ、身を全して君に仕といふ本文あり。」とて、兼て用意をいたす。,"Upon hearing of this, Moronobu said, ""I am not a scribe, but born into a family of warriors. To suffer an unexpected disgrace now would be a shame for my family and myself. The original purpose of my service is to preserve my life and serve my lord."""
34,2,參内のはじめより大なる鞘卷を用意して束帶のしたにしどけなげにさし、火のほのくらき方にむかて、やはら、此刀をぬき出し、鬢にひきあてられけるが、氷などの樣にぞみえける。,"From the beginning of his entry, he prepared a large scabbard, fastening it loosely to his belt, and facing the dim glow of fire, he drew the sword, and it appeared as if it were made of ice."
35,2,忠盛三十六にて始て昇殿す。,"Moronobu, at the age of thirty-six, first ascended to the inner court."
36,2,供養は天承元年三月十三日なり。,The offering was made on the thirteenth day of the third month in the first year of the Tenshō era.
37,2,其人いまだ藏人頭なりし時、五節にまはれければ、それも拍子をかへて、「あなくろ／＼、くろき頭かな。いかなる人のうるしぬりけむ。」とぞはやされける。,"Because his face was so dark, those who saw him called him the Black General."
38,2,あまりに色のくろかりければ、見る人黒帥とぞ申ける。,"At the festival, it was said, ""White paper, light ink, the top of the scroll, the brush with the picture of the drum painted on it,"" and so on, and the person who said this was the Governor of the Province of Tō, Kiyomori."
39,2,て、かくて候。,"Sadayori replied, ""I have been informed that Lord Moronobu, the Governor of Bizen, is to be assassinated in the dark tonight, and I came to see if that is indeed the case."""
40,2,其うへ忠盛目のすがまれたりければ、加樣にはやされけり。,"Though these people were descendants of Emperor Kōryō, they were not of noble lineage, and because they lived in Ise Province, they were called the Ise Heike in accordance with the customs of that province."
41,2,いかにすべき樣もなくして、御遊もいまだをはらざるに、竊に罷出らるとて、よこたへさされたりける刀をば紫宸殿の御後にして、かたへの殿上人のみられける所にて、主殿司をめしてあづけ置てぞ出られける。,"Because Moronobu's eyes were fixed upon them, they were praised."
42,2,家貞待うけたてまつて、「さていかゞ候つる。」と申ければ、かくともいはまほしう思はれけれども、いひつるものならば、殿上までもやがてきりのぼらんずる者にてある間、「別の事もなし。」とぞ答られける。,"Without knowing what to do, while the Emperor had not yet finished his meal, they secretly left, and the sword that had been laid horizontally was placed behind the Purple宸 Hall, in the place where only the courtiers could be seen, and the head of the palace attendants was entrusted with it, and they left."
43,2,此人々はかけまくもかたじけなく柏原天皇の御末とは申ながら、中比は都の住居もうと／＼しく、地下にのみ振舞なて伊勢國に住國ふかかりしかば、其國の器に事よせて、伊勢平氏とぞ申ける。,"Because he was serving at the banquet of Moronobu, the people changed their rhythm and said, ""The Ise Heike are like crows."""
44,2,五節には、「白薄樣、こぜむじの紙、卷上の筆、鞆繪ゑがいたる筆の軸」なんどさま％＼面白き事をのみこそうたひまはるるに、中比太宰權帥季仲卿といふ人ありけり。,"Sadayori, waiting to receive him, said, ""So, what is the situation?"" and he replied, ""If I had said that, I would have thought it was not necessary, but if I had to say something, I would have to say that, even though it would be a disgrace to ascend to the court, it would be necessary to do so. However, there is no other matter."""
45,3,うちたひらげ、勳功一にあらず、恩賞是おもかるべしとて、次の年正三位に敍せられ、うちつゞき、宰相、衞府督、檢非違使別當、中納言、大納言に歴あがて、剰へ丞相の位にいたり、左右を歴ずして内大臣より太政大臣從一位にあがる。,"He was the first to suppress the rebels, and thus, he was highly commended and received great rewards. In the following year, he was promoted to the rank of the First Class, and continued to rise through the ranks of Chancellor, Commander of the Imperial Guards, Chief of the Office of the Inspector General, Minister of the Left, Minister of the Right, and eventually reached the position of Chancellor, serving on both sides and rising from Minister of the Left to Chief Minister, the highest rank of the First Class."
46,3,次に平治元年十二月、信頼卿が謀反の時、御方にて賊徒を,"Next, in the twelfth month of Heiji 1, when the Minister of the Left, Tadamasa, conspired against the Emperor, he was ordered to suppress the rebels."
